"","SECTION_DESCR","PARAGRAPH_DESCR","BNF_CHEMICAL_SUBSTANCE","CHEMICAL_SUBSTANCE_BNF_DESCR"
"1547","Drugs affecting the immune response","Other immunomodulating drugs","0802040AT","Nivolumab"
"1548","Drugs for genito-urinary disorders","Drugs for erectile dysfunction","0704050AA","Vardenafil"
"1549","Antifibrinolytic drugs and haemostatics","Antifibrinolytic drugs and haemostatics","0211000Z0","Factor VIIa (Recombinant)"
"1550","Antihistamines, hyposensitisation and allergic emergencies","Antihistamines","0304010AD","Phenylprop hydrochloride/chlorphenamine maleate"
"1551","Vitamins","Vitamin K","0906060Q0","Phytomenadione"
"1552","Anaemias and some other blood disorders","Drugs used in neutropenia","0901060I0","Filgrastim"
"1553","Acne and rosacea","Topical preparations for acne","1306010Q0","Salicylic acid"
"1554","Antibacterial drugs","Antituberculosis drugs","0501090X0","Terizidone"
"1555","Drugs acting on the nose","Drugs used in nasal allergy","1202010I0","Budesonide"
"1556","Anti-infective skin preparations","Antibacterial preparations","1310011G0","Framycetin sulfate"
"1557","Minerals","Phosphorus","0905022H0","Calcium carbonate"
"1558","Antidepressant drugs","Tricyclic and related antidepressant drugs","0403010S0","Maprotiline hydrochloride"
"1559","Antibacterial drugs","Tetracyclines","0501030T0","Oxytetracycline"
"1560","Antibacterial drugs","Macrolides","0501050C0","Erythromycin"
"1561","Antifungal drugs","Triazole antifungals","0502010A0","Posaconazole"
"1562","Cough preparations","Expectorant and demulcent cough preparations","0309020AE","Ephedrine hydrochloride/ipecacuanha"
"1563","Anticoagulants and protamine","Parenteral anticoagulants","0208010K0","Heparin sodium"
"1564","Oral nutrition","Inherited metabolic disorder - Carbohydrate source","0913193A0","Powder carbohydrate supplement (0913193)"
"1565","Other preparations","Other preparations","190500000","Other preparations"
"1566","Antisecretory drugs and mucosal protectants","Test for helicobacter pylori","010300000","Other test for helicobacter pylori preparations"
"1567","Oral nutrition","Food - Low protein","0913261S0","Specialist food replacer savoury snacks (0913261)"
"1568","Antibacterial drugs","Antileprotic drugs","0501100C0","Clofazimine"
"1569","Antibacterial drugs","Some other antibacterials","0501070AE","Fosfomycin trometamol"
"1570","Incontinence Sheaths","Incontinence Sheaths","2230","Incontinence Sheaths"
"1571","Oral nutrition","ONS - Standard","0913011X0","Ready to serve 2.4 kcal/ml milkshake higher volume (0913011)"
"1572","Drugs for genito-urinary disorders","Drugs for erectile dysfunction","0704050Z0","Sildenafil (Erectile Dysfunction)"
"1573","Oral nutrition","Pre-thickened drinks","0913171B0","Ready to serve pre-thickened drink (0913171)"
"1574","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","1001010H0","Benorilate"
"1575","Antidepressant drugs","Monoamine-oxidase inhibitors (maois)","0403020Q0","Tranylcypromine sulfate"
"1576","Other endocrine drugs","Metyrapone","0607030T0","Trilostane"
"1577","Drugs used in diabetes","Antidiabetic drugs","0601023AI","Lixisenatide"
"1578","Intravenous nutrition","Intravenous nutrition","0903000Q0","L-Alanyl-l-gutamine"
"1579","Drugs acting on the nose","Nasal preparations for infection","120203000","Other nasal infection preparations"
"1580","Hypertension and heart failure","Renin-angiotensin system drugs","0205051F0","Captopril"
"1581","Analgesics","Non-opioid analgesics and compound preparations","0407010N0","Co-dydramol (Dihydrocodeine/paracetamol)"
"1582","Cytotoxic drugs","Other antineoplastic drugs","0801050AX","Everolimus"
"1583","Chronic bowel disorders","Corticosteroids","0105020D0","Prednisolone sodium metasulphobenzoate"
"1584","Minerals","Calcium and magnesium","0905013G0","Magnesium glycerophosphate"
"1585","Local preparations for anal and rectal disorders","Management of anal fissures","0107040A0","Glyceryl trinitrate"
"1586","Hypnotics and anxiolytics","Anxiolytics","0401020K0","Diazepam"
"1587","Antiviral drugs","HIV infection","0503010T0","Indinavir"
"1588","Preparations for eczema and psoriasis","Preparations for psoriasis","1305020D0","Calcipotriol"
"1589","Laxatives","Bulk-forming laxatives","0106010E0","Ispaghula husk"
"1590","Sex hormones and hormone antagonists in malignant disease","Progestogens","0803020H0","Medroxyprogesterone acetate"
"1591","Corticosteroids (endocrine)","Glucocorticoid therapy","0603020H0","Dexamethasone sodium phosphate"
"1592","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","100101040","Tenoxicam"
"1593","Metabolic disorders","Drugs used in metabolic disorders","0908010D0","Cholesterol"
"1594","Cytotoxic drugs","Vinca alkaloids and etoposide","0801040D0","Etoposide"
"1595","Hypertension and heart failure","Renin-angiotensin system drugs","0205052P0","Losartan potassium with diuretic"
"1596","Preparations for eczema and psoriasis","Drugs affecting the immune response","1305030I0","Risankizumab"
"1597","Mucolytics","Mucolytics","0307000R0","Mannitol"
"1598","Drugs used in obstetrics","Prostaglandins and oxytocics","0701010D0","Carboprost"
"1599","Cytotoxic drugs","Antimetabolites","0801030AE","Decitabine"
"1600","Sex hormones and hormone antagonists in malignant disease","Hormone antagonists","0803043N0","Octreotide acetate"
"1601","Antibacterial drugs","Penicillins","0501013E0","Ampicillin"
"1602","Drugs acting on the ear","Otitis externa","1201010AE","Ciprofloxain/dexameth"
"1603","Drugs used in parkinsonism and related disorders","Dopaminergic drugs used in parkinsonism","0409010B0","Amantadine hydrochloride"
"1604","Vitamins","Vitamin E","0906050U0","Tocofersolan"
"1605","Antiplatelet drugs","Antiplatelet drugs","0209000Y0","Prasugrel"
"1606","Drugs used in nausea and vertigo","Drugs used in nausea and vertigo","0406000Y0","Tropisetron"
"1607","Miscellaneous ophthalmic preparations","Tear deficiency, eye lubricant and astringent","1108010Z0","Carbomer 974P"
"1608","Systemic nasal decongestants","Systemic nasal decongestants","0310000N0","Pseudoephedrine hydrochloride"
"1609","Drugs affecting the immune response","Corticosteroids and other immunosuppressants","0802020U0","Sirolimus"
"1610","Selective preparations","Household and other over the counter lines","190205500","Other toiletry preparations"
"1611","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","1001010C0","Diclofenac sodium"
"1612","Minerals","Phosphorus","090502100","Other phosphate supplement preparations"
"1613","Antibacterial drugs","Antituberculosis drugs","0501090R0","Rifampicin"
"1614","Antisecretory drugs and mucosal protectants","Chelates and complexes","0103030S0","Sucralfate"
"1615","Antidepressant drugs","Tricyclic and related antidepressant drugs","0403010Y0","Trimipramine maleate"
"1616","Diagnostic agents","Diagnostic agents","180400000","Other diagnostic agent preparations"
"1617","Miscellaneous ophthalmic preparations","Tear deficiency, eye lubricant and astringent","1108010C0","Acetylcysteine"
"1618","Fluids and electrolytes","Oral preparation for fluid and electrolyte imbalance","0902012H0","Oral rehydration salts"
"1619","Drugs used in psychoses and related disorders","Drugs used for mania and hypomania","0402030Q0","Valproic acid"
"1620","Sex Hormones","Male sex hormones and antagonists","0604020C0","Finasteride"
"1621","General anaesthesia","Intravenous anaesthetics","1501010C0","Etomidate"
"1622","Cytotoxic drugs","Other antineoplastic drugs","0801050BQ","Ponatinib"
"1623","Antiviral drugs","Viral hepatitis","0503031D0","Tenofovir alafenamide"
"1624","Oral nutrition","ONS - Standard (paed)","0913021B0","RtS 1 kcal/ml milkshake lower energy with fibre (0913021)"
"1625","Vitamins","Vitamin E","0906050P0","Vitamin E"
"1626","Hypertension and heart failure","Alpha-adrenoceptor blocking drugs","0205040P0","Phentolamine mesilate"
"1627","Drugs acting on the oropharynx","Lozenges and sprays","1203030AA","Dichlorobenzyl alcohol/amylmetacresol"
"1628","Cytotoxic drugs","Antimetabolites","0801030Z0","Raltitrexed"
"1629","Oral nutrition","Non-ACBS sugar","0913611A0","Ready to serve disc or non-ACBS sugar (0913611)"
"1630","Anti-infective eye preparations","Antibacterials","1103010H0","Fusidic acid"
"1631","Drugs affecting the immune response","Corticosteroids and other immunosuppressants","0802020D0","Basiliximab"
"1632","Minerals","Calcium and magnesium","0905013D0","Magnesium chloride"
"1633","Lints","Lints","2007","Lints"
"1634","Other endocrine drugs","Metyrapone","0607030M0","Metyrapone"
"1635","Oral nutrition (OLD - DO NOT USE)","Foods for special diets","090401060","Gluten free/low protein meals"
"1636","Antiviral drugs","HIV infection","0503010G0","Lopinavir and ritonavir"
"1637","Cytotoxic drugs","Other antineoplastic drugs","0801050I0","Cisplatin"
"1638","Antibacterial drugs","Some other antibacterials","0501070AD","Tedizolid"
"1639","Minerals","Calcium and magnesium","0905011D0","Calcium carbonate"
"1640","Sex hormones and hormone antagonists in malignant disease","Hormone antagonists","0803041B0","Anastrozole"
"1641","Oral nutrition","ONS - Standard","0913011E0","Powder 2 kcal/ml m/sk higher volume, higher energy (0913011)"
"1642","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","1001010K0","Indometacin"
"1643","Oral nutrition","Inherited metabolic disorder - Protein source","0913206G0","Ready to serve 20g protein equivalent (0913206)"
"1644","General anaesthesia","Intravenous anaesthetics","1501010L0","Propofol"
"1645","Anti-infective skin preparations","Preparations for minor cuts and abrasions","1310050S0","Povidone-iodine"
"1646","Hypothalamic and pituitary hormones and anti, oestrogens","Hypothalamic & anterior pituitary hormone & antioestrogens","0605010AF","Follitropin delta"
"1647","Oral nutrition","Ketogenic diet","0913181H0","Ready to serve 20% MCT liquid (0913181)"
"1648","Oral nutrition","Non-ACBS macronutrient SfI metabolic condition","0913447A0","Pdr disc/non ACBS protein SfI metabolic condition (0913447)"
"1649","Detection Sensor Interstitial Fluid/Gluc","Detection Sensor Interstitial Fluid/Gluc","2148","Detection Sensor Interstitial Fluid/Gluc"
"1650","Lipid-regulating drugs","Lipid-regulating drugs","0212000A0","Acipimox"
"1651","Drugs used in parkinsonism and related disorders","Antimuscarinic drugs used in parkinsonism","0409020S0","Procyclidine hydrochloride"
"1652","Oral nutrition","ONS - Renal failure specific","0913081D0","Powder 4.8 kcal/g milk replacer (0913081)"
"1653","Drugs acting on the nose","Topical nasal decongestants","1202020I0","Ipratropium bromide"
"1654","Topical corticosteroids","Topical corticosteroids","1304000B0","Alclometasone dipropionate"
"1655","Oral nutrition","Non-ACBS renal failure specific ONS","0913331A0","RtS discontinued renal failure specific ONS (0913331)"
"1656","Oral nutrition","Non-ACBS gluten free food","0913461D0","Specialist food replacer OTC/disc flour additives (0913461)"
"1657","Analgesics","Opioid analgesics","0407020Q0","Morphine sulfate"
"1658","Preparations for eczema and psoriasis","Preparations for eczema","1305010AC","Zinc paste and calamine"
"1659","Drugs for soft-tissue disorders and topical pain relief","Rubefacients, topical NSAIDs, capsaicin and poultices","1003020V0","Turpentine oil"
"1660","Disinfectants, preservatives and sterilising agents","Disinfectants, preservatives and sterilising agents","190900000","Other disinfectant,preservative and sterilising preparations"
"1661","Antibacterial drugs","Some other antibacterials","0501070I0","Colistimethate sodium"
"1662","Drugs used in diabetes","Insulin","0601012S0","Isophane insulin"
"1663","Antispasmodics and other drugs altering gut motility","Antispasmodics and other drugs altering gut motility","0102000X0","Mebeverine hydrochloride compound preparations"
"1664","Corticosteroids and other anti-inflammatory preparations","Other anti-inflammatory preparations","1104020Y0","Ketotifen fumarate"
"1665","Antiviral drugs","HIV infection","0503010J0","Enfuvirtide"
"1666","Cytotoxic drugs","Antimetabolites","0801030AF","Trifluridine/tipiracil"
"1667","Cough preparations","Cough suppressants","0309010X0","Pholcodine"
"1668","Laxatives","Osmotic laxatives","0106040G0","Lactulose"
"1669","Enteral nutrition","Tube feed - Condition specific (paed)","0914041B0","Tube feed 1 kcal/ml peptide based (0914041)"
"1670","Acne and rosacea","Topical preparations for acne","1306010N0","Nicotinamide"
"1671","Enteral nutrition","Tube feed - Standard","0914011E0","Tube feed 1.2 - 1.25 kcal/ml (0914011) "
"1672","Cycloidal Vibration Accessories","Cycloidal Vibration Accessories","2131","Cycloidal Vibration Accessories"
"1673","Drugs affecting the immune response","Corticosteroids and other immunosuppressants","0802020G0","Ciclosporin"
"1674","Analgesics","Non-opioid analgesics and compound preparations","0407010X0","Paracetamol combined preparations"
"1675","Prosthetic Adhesives","Prosthetic Adhesives","2139","Prosthetic Adhesives"
"1676","Skin cleansers,antiseptics and desloughing agents","Desloughing agents","131107000","Other desloughing agents"
"1677","Antidepressant drugs","Tricyclic and related antidepressant drugs","0403010F0","Clomipramine hydrochloride"
"1678","Cytotoxic drugs","Alkylating drugs","0801010D0","Carmustine"
"1679","Hypnotics and anxiolytics","Hypnotics","0401010S0","Potassium bromide"
"1680","Skin cleansers,antiseptics and desloughing agents","Phenolics","1311050P0","Liquefied phenol"
"1681","Antiepileptic drugs","Control of epilepsy","0408010Z0","Phenytoin"
"1682","Anaemias and some other blood disorders","Drugs used in platelet disorders","0901040C0","Eltrombopag"
"1683","Drugs affecting the immune response","Anti-lymphocyte monoclonal antibodies","0802030G0","Obinutuzumab"
"1684","Drugs for genito-urinary disorders","Drugs used in urological pain","0704030C0","Ammonium chloride"
"1685","Antifungal drugs","Polyene antifungals","0502030A0","Amphotericin"
"1686","Treatment of vaginal and vulval conditions","Vaginal and vulval infections","0702020Z0","Dequalinium chloride"
"1687","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010C0","Clozapine"
"1688","Drugs used in psychoses and related disorders","Antipsychotic depot injections","0402020L0","Fluphenazine decanoate"
"1689","Oral nutrition","Infant formula - Condition specific","0913108A0","Powder pre-thickened formula (0913108)"
"1690","Corticosteroids (endocrine)","Glucocorticoid therapy","0603020C0","Betamethasone sodium phosphate"
"1691","Corticosteroids and other anti-inflammatory preparations","Corticosteroids","1104010K0","Fluorometholone"
"1692","Drugs used in parkinsonism and related disorders","Essential tremor,chorea,tics and related disorders","0409030P0","Piracetam"
"1693","Cytotoxic drugs","Other antineoplastic drugs","0801050CM","Encorafenib"
"1694","Diagnostic vaccines","Diagnostic vaccines","140300000","Other diagnostic vaccine preparations"
"1695","Anti-infective skin preparations","Antifungal preparations","1310020T0","Tioconazole"
"1696","Anti-infective skin preparations","Antiviral preparations","1310030I0","Idoxuridine in dimethyl sulfoxide"
"1697","Anti-infective skin preparations","Preparations for minor cuts and abrasions","1310050K0","Dibrompropamidine isetionate"
"1698","General anaesthesia","Anticholinesterases used in anaesthesia","1501060N0","Neostigmine metilsulfate"
"1699","Minerals","Zinc and other minerals","090504400","Other kelp preparations"
"1700","Preparations for eczema and psoriasis","Drugs affecting the immune response","1305030G0","Ixekizumab"
"1701","Hypothalamic and pituitary hormones and anti, oestrogens","Hypothalamic & anterior pituitary hormone & antioestrogens","0605010X0","Choriogonadotropin alfa"
"1702","Sex Hormones","Female sex hormones and their modulators","0604011L0","Estradiol with progestogen"
"1703","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010D0","Chlorpromazine hydrochloride"
"1704","Antibacterial drugs","Antituberculosis drugs","0501090A0","Aminosalicylic acid"
"1705","Antibacterial drugs","Antileprotic drugs","0501100J0","Thalidomide (Antileprotic)"
"1706","Antibacterial drugs","Antituberculosis drugs","0501090Q0","Rifabutin"
"1707","Antibacterial drugs","Quinolones","0501120L0","Ciprofloxacin"
"1708","Skin cleansers,antiseptics and desloughing agents","Phenolics","1311050K0","Hexachlorophene"
"1709","Oral nutrition","Inherited metabolic disorder - Protein source","0913206E0","Ready to serve 15g protein equivalent (0913206)"
"1710","Oral nutrition","Infant formula - Additive","0913121A0","Liquid additive lactase (0913121)"
"1711","Anaemias and some other blood disorders","Iron-deficiency anaemias","0901011S0","Polysaccharide-iron complex"
"1712","Vitamins","Vitamin C","090603300","Other vitamin C preparations"
"1713","Minerals","Calcium and magnesium","0905013F0","Magnesium citrate"
"1714","Filters/Bridges","Filters/Bridges","2350","Filters/Bridges"
"1715","Cough preparations","Expectorant and demulcent cough preparations","0309020K0","Squill opiate"
"1716","Oral nutrition","ONS - Standard","0913011K0","RtS 1.5 - 1.6 kcal/ml milkshake higher protein (0913011)"
"1717","Oral nutrition","ONS - Standard (paed)","0913021H0","RtS 2.4 kcal/ml milkshake lower volume with fibre (0913021)"
"1718","Miscellaneous ophthalmic preparations","Ocular diagnostic & peri-operative prepn & photodynamic tt","1108020AI","Aflibercept"
"1719","Lymphoedema Garments","Lymphoedema Garments","2127","Lymphoedema Garments"
"1720","Oral nutrition","Non-ACBS gluten free food","0913461B0","Specialist food replacer OTC or disc cake mix (0913461)"
"1721","Antispasmodics and other drugs altering gut motility","Antispasmodics and other drugs altering gut motility","0102000Y0","Propantheline bromide"
"1722","Skin cleansers,antiseptics and desloughing agents","Oxidisers and dyes","1311060H0","Hamamelis"
"1723","Drugs for genito-urinary disorders","Bladder instillations and urological surgery","0704040W0","Acetylcysteine"
"1724","Fluids and electrolytes","Parent prepn for fluid and electrolyte imb","0902021N0","Potassium chloride"
"1725","Anti-infective skin preparations","Antifungal preparations","1310020U0","Nystatin"
"1726","Preparations for eczema and psoriasis","Preparations for psoriasis","1305020X0","Fumaric acid"
"1727","Metabolic disorders","Drugs used in metabolic disorders","0908010AD","Carglumic acid"
"1728","Hypertension and heart failure","Renin-angiotensin system drugs","0205052AE","Sacubitril/valsartan"
"1729","Antiviral drugs","Influenza","0503040D0","Baloxavir marboxil"
"1730","Drugs affecting the immune response","Corticosteroids and other immunosuppressants","0802020Y0","Belatacept"
"1731","Anti-arrhythmic drugs","Drugs for arrhythmias","0203020C0","Adenosine"
"1732","Anti-infective skin preparations","Antifungal preparations","1310020H0","Clotrimazole"
"1733","Nitrates, calcium-channel blockers & other antianginal drugs","Peripheral vasodilators and related drugs","0206040AG","Pentoxifylline"
"1734","Oral nutrition (OLD - DO NOT USE)","Foods for special diets","0904010V0","Gluten free/low protein grains/flours"
"1735","Treatment of glaucoma","Treatment of glaucoma","1106000Y0","Pilocarpine nitrate"
"1736","Vaccines and antisera","Vaccines and antisera","1404000AV","Dengue fever"
"1737","Cytotoxic drugs","Drugs for cytotoxic-induced side-effects","0801000Z0","Levofolinic acid"
"1738","Antidepressant drugs","Monoamine-oxidase inhibitors (maois)","0403020K0","Moclobemide"
"1739","Nitrates, calcium-channel blockers & other antianginal drugs","Calcium-channel blockers","0206020Z0","Valsartan/amlodipine"
"1740","Cytotoxic drugs","Anthracyclines and cytotoxic antibiotics","0801020Q0","Mitomycin"
"1741","Bronchodilators","Compound bronchodilator preparations","0301040R0","Salbutamol"
"1742","Drugs for genito-urinary disorders","Drugs for urinary frequency enuresis and incontinence","0704020AF","Vibegron"
"1743","Drugs affecting the immune response","Other immunomodulating drugs","0802040AP","Peginterferon beta"
"1744","Catheters","Catheters","2102","Catheters"
"1745","Oral nutrition","Food - Low protein","0913261V0","Specialist food replacer sweet biscuits (0913261)"
"1746","Corticosteroids and other anti-inflammatory preparations","Corticosteroids","1104010I0","Dexamethasone"
"1747","Analgesics","Non-opioid analgesics and compound preparations","0407010H0","Paracetamol"
"1748","Oral nutrition","Food - Low protein","0913261J0","Specialist food replacer milk (0913261)"
"1749","Drugs used in rheumatic diseases and gout","Gout and cytotoxic induced hyperuicaemia","1001040A0","Benzbromarone"
"1750","Drugs used in parkinsonism and related disorders","Dopaminergic drugs used in parkinsonism","0409010A0","Apomorphine hydrochloride"
"1751","Oral nutrition","ONS - Standard","0913011B0","Powder 1.5 kcal/ml smoothie plant based (0913011)"
"1752","General anaesthesia","Inhalational anaesthetics","1501020W0","Methoxyflurane"
"1753","Antibacterial drugs","Cephalosporins and other beta-lactams","0501021J0","Cefuroxime sodium"
"1754","Antiviral drugs","HIV infection","0503010AU","Dolutegravir/lamivudine"
"1755","Minerals","Phosphorus","0905022V0","Colestilan"
"1756","Drugs used in neuromuscular disorders","Drugs which enhance neuromuscular transmission","100201000","Other neuromuscularar transmisson preparations"
"1757","Analgesics","Opioid analgesics","0407020E0","Dextropropoxyphene"
"1758","Antispasmodics and other drugs altering gut motility","Antispasmodics and other drugs altering gut motility","0102000A0","Alverine citrate"
"1759","Antisecretory drugs and mucosal protectants","Selective antimuscarinics","0103020P0","Pirenzepine"
"1760","Enteral nutrition","Tube feed - Standard (paed)","0914021E0","Tube feed 1.5 kcal/ml (0914021)"
"1761","Minerals","Phosphorus","0905021F0","Monobasic potassium phosphate"
"1762","Antifungal drugs","Echinocandin antifungals","0502040B0","Micafungin"
"1763","Analgesics","Non-opioid analgesics and compound preparations","040701000","Other non-opioid analgesic preparations"
"1764","Drugs acting on the nose","Nasal preparations for infection","1202030S0","Neomycin sulfate"
"1765","Oral nutrition","Non-ACBS ONS - Cancer specific","0913631A0","Ready to serve 1.3 - 1.5 kcal/ml milkshake (0913631)"
"1766","Vaccines and antisera","Vaccines and antisera","1404000Y0","Haemophilus influenzae vaccine"
"1767","Antibacterial drugs","Penicillins","0501013B0","Amoxicillin"
"1768","Topical circulatory preparations","Topical circulatory preparations","131400000","Other topical circulatory preparations"
"1769","Oral nutrition","ONS - Standard","0913011I0","Ready to serve 1 - 1.3 kcal/ml m/sk lower energy (0913011)"
"1770","Anticoagulants and protamine","Parenteral anticoagulants","0208010D0","Enoxaparin"
"1771","Sex Hormones","Female sex hormones and their modulators","0604012P0","Norethisterone"
"1772","Vitamins","Vitamin D","0906040P0","Paricalcitol"
"1773","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","1001010T0","Tiaprofenic acid"
"1774","Hypertension and heart failure","Renin-angiotensin system drugs","0205051M0","Perindopril erbumine"
"1775","Antibacterial drugs","Antituberculosis drugs","0501090C0","Capreomycin"
"1776","Drugs used in diabetes","Insulin","0601012U0","Protamine zinc insulin"
"1777","Enteral nutrition","Tube feed - Standard","0914011H0","Tube feed 1.5 kcal/ml (0914011)"
"1778","Cytotoxic drugs","Other antineoplastic drugs","0801050BD","Vemurafenib"
"1779","Drugs for soft-tissue disorders and topical pain relief","Rubefacients, topical NSAIDs, capsaicin and poultices","1003020R0","Piroxicam"
"1780","Antibacterial drugs","Penicillins","0501015P0","Pivmecillinam hydrochloride"
"1781","Shampoos and other preparations for scalp and hair conditions","Shampoo and other preparations for scalp and hair conditions","1309000V0","Dithranol"
"1782","Drugs for soft-tissue disorders and topical pain relief","Enzymes","1003010V0","Serrapeptase"
"1783","Antibacterial drugs","Some other antibacterials","0501070V0","Quinupristin/dalfopristin"
"1784","Drugs used in parkinsonism and related disorders","Essential tremor,chorea,tics and related disorders","0409030A0","Botulinum toxin type B"
"1785","Metabolic disorders","Drugs used in metabolic disorders","0908010AB","Laronidase"
"1786","Antiepileptic drugs","Control of epilepsy","040801050","Topiramate"
"1787","Drugs used in nausea and vertigo","Drugs used in nausea and vertigo","0406000S0","Ondansetron hydrochloride"
"1788","Bronchodilators","Adrenoceptor agonists","0301011E0","Formoterol fumarate"
"1789","Drugs for genito-urinary disorders","Drugs used in urological pain","0704030G0","Potassium citrate"
"1790","Anaemias and some other blood disorders","Iron-deficiency anaemias","0901011Q0","Iron and folic acid"
"1791","Drugs used in diabetes","Treatment of hypoglycaemia","0601040E0","Diazoxide"
"1792","Antiviral drugs","Influenza","0503040B0","Oseltamivir phosphate"
"1793","Drugs for genito-urinary disorders","Drugs for urinary retention","0704010C0","Bethanechol chloride"
"1794","Drugs for genito-urinary disorders","Drugs for urinary retention","0704010M0","Indoramin"
"1795","Metabolic disorders","Drugs used in metabolic disorders","0908010I0","Imiglucerase"
"1796","Diuretics","Potassium-sparing diuretics and aldosterone antagonists","0202030W0","Triamterene"
"1797","Hypnotics and anxiolytics","Hypnotics","0401010N0","Loprazolam mesilate"
"1798","Cromoglycate, leukotriene and phosphodesterase type-4 inhib","Leukotriene receptor antagonists","0303020G0","Montelukast"
"1799","Treatment of vaginal and vulval conditions","Vaginal and vulval infections","0702020Y0","Boric acid"
"1800","Cytotoxic drugs","Anthracyclines and cytotoxic antibiotics","0801020G0","Bleomycin"
"1801","Oral nutrition","Inherited metabolic disorder - Protein source","0913206A0","Powder 15g protein equivalent (0913206)"
"1802","Oral nutrition","Non-ACBS low protein food","0913451L0","Food replacer discontinued or OTC meat/fish (0913451)"
"1803","Sex Hormones","Female sex hormones and their modulators","0604011H0","Estradiol, estriol and estrone"
"1804","Sunscreens and camouflagers","Sunscreening preparations","1308010AA","Tirbanibulin"
"1805","Preparations for eczema and psoriasis","Drugs affecting the immune response","1305030K0","Abrocitinib"
"1806","Cytotoxic drugs","Other antineoplastic drugs","0801050V0","Paclitaxel"
"1807","Other health supplements","Other health supplements","091200000","Other health supplement preparations"
"1808","Antiviral drugs","Respiratory syncytial virus","0503050A0","Palivizumab"
"1809","Drugs acting on the oropharynx","Lozenges and sprays","120303000","Other lozenge and spray preparations"
"1810","Sex Hormones","Female sex hormones and their modulators","0604012S0","Progesterone"
"1811","Oral nutrition","Food - Low protein","0913261B0","Specialist food replacer cakes (0913261)"
"1812","Thyroid and antithyroid drugs","Thyroid hormones","0602010Z0","Levothyroxine sodium and liothyronine"
"1813","Cytotoxic drugs","Other antineoplastic drugs","0801050CD","Alectinib"
"1814","Diuretics","Loop diuretics","0202020D0","Bumetanide"
"1815","Antibacterial drugs","Clindamycin and lincomycin","0501060D0","Clindamycin hydrochloride"
"1816","Drugs used in nausea and vertigo","Drugs used in nausea and vertigo","0406000AF","Granisetron"
"1817","Anaemias and some other blood disorders","Drugs used in megaloblastic anaemias","0901020G0","Folic acid"
"1818","Bronchodilators","Antimuscarinic bronchodilators","0301020P0","Oxitropium bromide"
"1819","Antiviral drugs","HIV infection","0503010AS","Lamivudine/tenofovir disoproxil/doravirine"
"1820","Antiviral drugs","HIV infection","0503010M0","Fosamprenavir calcium"
"1821","Drugs used in diabetes","Insulin","0601011N0","Soluble insulin (Neutral insulin)"
"1822","Oral nutrition","ONS - Standard","0913011Q0","Ready to serve 1.5 kcal/ml yoghurt style drink (0913011)"
"1823","Oral nutrition","Non-ACBS macronutrient SfI metabolic condition","0913446A0","Pdr disc/non ACBS protein SfI metabolic condition (0913446)"
"1824","Anti-infective eye preparations","Antibacterials","1103010G0","Gentamicin sulfate"
"1825","Hypertension and heart failure","Adrenergic neurone blocking drugs","0205030H0","Debrisoquine sulfate"
"1826","Dyspepsia and gastro-oesophageal reflux disease","Antacids and simeticone","0101010R0","Simeticone"
"1827","Local preparations for anal and rectal disorders","Soothing haemorrhoidal preparations","0107010E0","Bismuth subgallate"
"1828","Chronic bowel disorders","Drugs affecting immune response","0105030B0","Ustekinumab"
"1829","Antibacterial drugs","Aminoglycosides","0501040C0","Amikacin"
"1830","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","1001010AN","Lumiracoxib"
"1831","Drugs used in neuromuscular disorders","Skeletal muscle relaxants","1002020L0","Guaifenesin"
"1832","Drugs acting on the oropharynx","Drugs for oral ulceration and inflammation","1203010V0","Lidocaine/cetylpyridinium"
"1833","Mucolytics","Mucolytics","0307000Q0","Erdosteine"
"1834","Antidepressant drugs","Selective serotonin re-uptake inhibitors","0403030E0","Fluoxetine hydrochloride"
"1835","Oral nutrition","ONS - Dysphagia specific","0913051B0","RtS 1.5kcal/ml m/sk, higher protein, pre-thickened (0913051)"
"1836","Drugs for genito-urinary disorders","Drugs for erectile dysfunction","0704050AC","Avanafil"
"1837","Sex Hormones","Female sex hormones and their modulators","0604012U0","Ulipristal acetate (Emergency Contraceptive)"
"1838","Stable angina, acute coronary syndromes and fibrinolysis","Fibrinolytic drugs","0210020U0","Tenecteplase"
"1839","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010W0","Thioridazine"
"1840","Oral nutrition","Food - Low protein","0913261N0","Specialist food replacer rice/cous cous (0913261)"
"1841","Antifibrinolytic drugs and haemostatics","Antifibrinolytic drugs and haemostatics","0211000Y0","Factor VIII Inhibitor Bypass Fraction"
"1842","Drugs acting on the ear","Otitis externa","120101050","Dexamethasone"
"1843","Drugs for genito-urinary disorders","Drugs for erectile dysfunction","0704050J0","Papaverine hydrochloride"
"1844","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010B0","Benperidol"
